Time                CORE-spark-VM       YK-spark-VM         CT-spark-VM         WT-spark-VM         CORE-kafka-VM       YK-kafka-VM         CT-kafka-VM         WT-kafka-VM         CORE-cassandra-VM   CORE-spark-cont     YK-spark-cont       CT-spark-cont       WT-spark-cont       CORE-kafka-cont     YK-kafka-cont       CT-kafka-cont       WT-kafka-cont       CORE-cassandra-cont 
1485548958               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   6                   5                   6                   5                   2                   
1485548965               1                   1                   1                   1                   2                   2                   2                   2                   1                   3                   3                   3                   3                   5                   5                   5                   4                   2                   
1485548971               1                   1                   1                   1                   2                   2                   2                   1                   1                   3                   3                   3                   2                   5                   5                   5                   4                   2                   
1485548978               1                   1                   1                   1                   2                   1                   2                   1                   1                   3                   3                   3                   2                   5                   4                   5                   4                   2                   
1485548985               1                   1                   1                   1                   2                   1                   2                   1                   1                   3                   2                   3                   2                   5                   4                   4                   4                   2                   
1485548991               1                   1                   1                   1                   2                   1                   1                   1                   1                   3                   2                   2                   2                   4                   4                   4                   4                   2                   
1485548998               1                   1                   1                   1                   1                   1                   1                   1                   1                   3                   2                   2                   2                   4                   4                   4                   4                   2                   
1485549005               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   4                   4                   4                   3                   2                   
1485549011               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   2                   3                   3                   3                   3                   2                   
1485549018               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   1                   3                   3                   3                   2                   1                   
1485549025               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   2                   1                   3                   2                   2                   2                   1                   
1485549031               1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   1                   1                   1                   2                   2                   2                   2                   1                   
1485549038               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   2                   2                   2                   1                   1                   
1485549044               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485549051               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485549058               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485549064               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485549071               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
1485549077               1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   1                   
